Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,7/8/2016,7:39:43,ENERGYPLM,QA1,Release_6_0_82,db,PLM-ENERGYPLM-APP,267,PLM-ENERGYPLM-DB,200,22 mins 55 secs,0 mins 48 secs,23 mins 43 secs,23.72
,7/8/2016,7:51:26,WINDPLM,QA2,Release_4_4,app,PLM-WINDPLM-APP,376,,,41 mins 40 secs,,41 mins 40 secs,41.67
,7/8/2016,9:49:17,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,377,PLM-WINDPLM-DB,335,47 mins 44 secs,2 mins 17 secs,50 mins 1 secs,50.02
,7/8/2016,10:40:50,WINDPLM,QA,Release_4_2_30,db,PLM-WINDPLM-APP,378,PLM-WINDPLM-DB,336,38 mins 52 secs,0 mins 36 secs,39 mins 28 secs,39.47
,7/8/2016,14:50:17,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,379,PLM-WINDPLM-DB,337,31 mins 23 secs,0 mins 40 secs,32 mins 3 secs,32.05
,7/8/2016,23:53:51,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,380,PLM-WINDPLM-DB,338,10 mins 14 secs,0 mins 37 secs,10 mins 51 secs,10.85
,7/10/2016,10:59:39,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,381,PLM-WINDPLM-DB,339,29 mins 44 secs,0 mins 38 secs,30 mins 23 secs,30.38
,7/11/2016,6:19:33,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,382,PLM-WINDPLM-DB,340,18 mins 55 secs,0 mins 56 secs,19 mins 51 secs,19.85
,7/11/2016,6:31:26,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,383,PLM-WINDPLM-DB,341,12 mins 15 secs,0 mins 49 secs,13 mins 5 secs,13.08
,7/11/2016,8:45:29,WINDPLM,DEV,wind_dev_4_2_30,app,PLM-WINDPLM-APP,384,,,83 mins 22 secs,,83 mins 22 secs,83.37
,7/11/2016,9:58:14,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,385,PLM-WINDPLM-DB,342,37 mins 49 secs,0 mins 51 secs,38 mins 41 secs,38.68
,7/11/2016,10:49:37,WINDPLM,QA,Release_4_2_30,app,PLM-WINDPLM-APP,386,,,"52 mins, 33 secs",,"52 mins, 33 secs",52.33
,7/11/2016,10:53:33,ENERGYPLM,QA2,Release_6_0_85,db,PLM-ENERGYPLM-APP,268,PLM-ENERGYPLM-DB,201,25 mins 44 secs,0 mins 39 secs,26 mins 23 secs,26.38
,7/11/2016,15:36:04,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,387,PLM-WINDPLM-DB,343,74 mins 19 secs,2 mins 11 secs,76 mins 31 secs,76.52
,7/11/2016,23:59:29,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,388,PLM-WINDPLM-DB,344,14 mins 9 secs,0 mins 46 secs,14 mins 55 secs,14.92
,7/12/2016,3:56:08,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,389,PLM-WINDPLM-DB,345,10 mins 47 secs,0 mins 48 secs,11 mins 36 secs,11.6
,7/12/2016,6:29:28,ENERGYPLM,DEV2,Release_6_0_83,db,PLM-ENERGYPLM-APP,269,PLM-ENERGYPLM-DB,202,23 mins 20 secs,0 mins 57 secs,24 mins 17 secs,24.28
,7/12/2016,6:59:30,ENERGYPLM,QA1,Release_6_0_85,all,PLM-ENERGYPLM-APP,270,PLM-ENERGYPLM-DB,203,23 mins 59 secs,0 mins 35 secs,24 mins 34 secs,24.57
,7/12/2016,7:41:49,WINDPLM,DEV4,wind_dev_4_4,db,PLM-WINDPLM-APP,390,PLM-WINDPLM-DB,346,35 mins 59 secs,1 mins 4 secs,37 mins 3 secs,37.05
,7/12/2016,12:21:56,ENERGYPLM,QA1,Release_6_0_85,all,PLM-ENERGYPLM-APP,271,PLM-ENERGYPLM-DB,204,17 mins 44 secs,0 mins 38 secs,18 mins 23 secs,18.38
